VariableCode,RegionCode,YearCode,AggValue
rgdpo,IRL,1996,99518.72656250000000000
pop,IRL,1996,3.61964100000000000
rgdpo,IRL,1997,111502.56250000000000000
pop,IRL,1997,3.65109600000000000
rgdpo,IRL,1998,122571.42968750000000000
pop,IRL,1998,3.68781900000000000
rgdpo,IRL,1999,134600.01562500000000000
rgdpo,BGR,1990,106472.70312500000000000
pop,BGR,1990,8.84145800000000000
rgdpo,BGR,1991,110619.05468750000000000
pop,BGR,1991,8.76699900000000000
rgdpo,BGR,1992,112640.24218750000000000
pop,BGR,1992,8.67637700000000000
rgdpo,BGR,1993,83607.94531250000000000
pop,BGR,1993,8.57603800000000000
rgdpo,BGR,1994,82472.42968750000000000
pop,BGR,1994,8.47482600000000000
rgdpo,BGR,1995,86818.87500000000000000
pop,BGR,1995,8.37930800000000000
rgdpo,BGR,1996,82570.75000000000000000
pop,BGR,1996,8.29197000000000000
rgdpo,BGR,1997,62861.14453125000000000
pop,BGR,1997,8.21181400000000000
rgdpo,BGR,1998,73695.68750000000000000
pop,BGR,1998,8.13767000000000000
rgdpo,BGR,1999,73270.70312500000000000
pop,BGR,1999,8.06699800000000000
rgdpo,BGR,2000,79629.25000000000000000
pop,BGR,2000,7.99795700000000000
rgdpo,BGR,2001,81448.59375000000000000
pop,BGR,2001,7.93070300000000000
rgdpo,BGR,2002,84463.75000000000000000
pop,BGR,2002,7.86623900000000000
rgdpo,BGR,2003,86977.85156250000000000
pop,BGR,2003,7.80431200000000000
rgdpo,BGR,2004,90887.03125000000000000
pop,BGR,2004,7.74463200000000000
rgdpo,CAF,1990,3391.60571289063000000
pop,CAF,1990,2.80673400000000000
rgdpo,CAF,1991,3339.99487304688000000
pop,CAF,1991,2.87850900000000000
rgdpo,CAF,1992,3207.99487304688000000
pop,CAF,1992,2.95923600000000000
rgdpo,CAF,1993,3145.84814453125000000
pop,CAF,1993,3.04614900000000000
rgdpo,CAF,1994,3830.59619140625000000
pop,CAF,1994,3.13501500000000000
rgdpo,CAF,1995,3943.51025390625000000
pop,CAF,1995,3.22265600000000000
rgdpo,CAF,1996,3353.62304687500000000
pop,CAF,1996,3.30823300000000000
rgdpo,CAF,1997,3519.92675781250000000
pop,CAF,1997,3.39243600000000000
rgdpo,CAF,1998,3701.72973632813000000
pop,CAF,1998,3.47549200000000000
rgdpo,CAF,1999,3661.07617187500000000
pop,CAF,1999,3.55801400000000000
rgdpo,CAF,2000,3778.81420898438000000
pop,CAF,2000,3.64042700000000000
rgdpo,CAF,2001,3832.77441406250000000
pop,CAF,2001,3.72201800000000000
rgdpo,CAF,2002,3839.51538085938000000
pop,CAF,2002,3.80212800000000000
rgdpo,CAF,2003,3661.69384765625000000
pop,CAF,2003,3.88118100000000000
rgdpo,CAF,2004,3766.60913085938000000
pop,CAF,2004,3.95987500000000000
rgdpo,CAF,2005,3847.29663085938000000
pop,CAF,2005,4.03838200000000000
rgdpo,CAF,2006,4037.82031250000000000
pop,CAF,2006,4.11806900000000000
rgdpo,CAF,2007,4264.89257812500000000
pop,CAF,2007,4.19801000000000000
rgdpo,CAF,2008,4371.63281250000000000
pop,CAF,2008,4.27336600000000000
rgdpo,CAF,2009,4706.12353515625000000
pop,CAF,2009,4.33762500000000000
rgdpo,CAF,2010,4916.84960937500000000
pop,CAF,2010,4.38676800000000000
rgdpo,CAF,2011,5002.90869140625000000
pop,CAF,2011,4.41863700000000000
rgdpo,CAF,2012,5549.80468750000000000
pop,CAF,2012,4.43641600000000000
rgdpo,CAF,2013,3658.04956054688000000
pop,CAF,2013,4.44794400000000000
rgdpo,CAF,2014,3516.55493164063000000
pop,CAF,2014,4.46417500000000000
rgdpo,CAF,2015,3920.75634765625000000
pop,CAF,2015,4.49317000000000000
rgdpo,CAF,2016,4131.60156250000000000
pop,CAF,2016,4.53768600000000000
rgdpo,CAF,2017,4265.27246093750000000
pop,CAF,2017,4.59602300000000000
rgdpo,CAF,2018,4441.04589843750000000
pop,CAF,2018,4.66636800000000000
rgdpo,CAF,2019,4642.44873046875000000
pop,CAF,2019,4.74518500000000000
rgdpo,CAN,1990,941469.37500000000000000
pop,CAN,1990,27.54131900000000000
rgdpo,CAN,1991,917014.00000000000000000
pop,CAN,1991,27.88881000000000000
rgdpo,CAN,1992,925953.81250000000000000
pop,CAN,1992,28.22440900000000000
rgdpo,CAN,1993,947825.93750000000000000
pop,CAN,1993,28.54796700000000000
rgdpo,CAN,1994,993124.50000000000000000
pop,CAN,1994,28.86073400000000000
rgdpo,CAN,1995,1042290.12500000000000000
pop,CAN,1995,29.16415200000000000
rgdpo,CAN,1996,1068538.62500000000000000
pop,CAN,1996,29.45781700000000000
rgdpo,CAN,1997,1111285.87500000000000000
pop,CAN,1997,29.74238200000000000
rgdpo,CAN,1998,1127568.75000000000000000
pop,CAN,1998,30.02207300000000000
rgdpo,CAN,1999,1208232.00000000000000000
pop,CAN,1999,30.30251500000000000
rgdpo,CAN,2000,1284667.37500000000000000
