VariableCode,RegionCode,YearCode,AggValue
rgdpo,BTN,2006,4064.20214843750000000
pop,BTN,2006,0.65741000000000000
rgdpo,BTN,2007,4347.11621093750000000
pop,BTN,2007,0.66487600000000000
rgdpo,BTN,2008,4825.16552734375000000
rgdpo,AUS,1990,507695.96875000000000000
pop,AUS,1990,16.96059700000000000
hc,AUS,1990,3.41107678413391000
rgdpo,AUS,1991,507724.75000000000000000
pop,AUS,1991,17.18924000000000000
hc,AUS,1991,3.42362284660339000
rgdpo,AUS,1992,527872.68750000000000000
pop,AUS,1992,17.40217300000000000
hc,AUS,1992,3.43621516227722000
rgdpo,AUS,1993,547020.68750000000000000
pop,AUS,1993,17.60320500000000000
hc,AUS,1993,3.44885373115540000
rgdpo,AUS,1994,572406.18750000000000000
pop,AUS,1994,17.79852900000000000
hc,AUS,1994,3.46153879165649000
rgdpo,AUS,1995,602171.25000000000000000
pop,AUS,1995,17.99307400000000000
hc,AUS,1995,3.47427058219910000
rgdpo,AUS,1996,635900.68750000000000000
pop,AUS,1996,18.18927700000000000
hc,AUS,1996,3.48704934120178000
rgdpo,AUS,1997,667289.56250000000000000
pop,AUS,1997,18.38721400000000000
hc,AUS,1997,3.49987483024597000
rgdpo,AUS,1998,690270.06250000000000000
pop,AUS,1998,18.58702100000000000
hc,AUS,1998,3.51274776458740000
rgdpo,AUS,1999,725861.62500000000000000
pop,AUS,1999,18.78818600000000000
hc,AUS,1999,3.52566766738892000
rgdpo,AUS,2000,746969.00000000000000000
pop,AUS,2000,18.99143100000000000
hc,AUS,2000,3.53863549232483000
rgdpo,AUS,2001,771091.56250000000000000
pop,AUS,2001,19.19467200000000000
hc,AUS,2001,3.52751183509827000
rgdpo,AUS,2002,789873.25000000000000000
pop,AUS,2002,19.40136800000000000
hc,AUS,2002,3.51642346382141000
rgdpo,AUS,2003,823659.43750000000000000
pop,AUS,2003,19.62416600000000000
hc,AUS,2003,3.50536966323853000
rgdpo,AUS,2004,853504.56250000000000000
pop,AUS,2004,19.87964900000000000
hc,AUS,2004,3.49435067176819000
rgdpo,AUS,2005,917886.68750000000000000
pop,AUS,2005,20.17854000000000000
hc,AUS,2005,3.48336648941040000
rgdpo,AUS,2006,937622.87500000000000000
pop,AUS,2006,20.52630300000000000
hc,AUS,2006,3.47241663932800000
rgdpo,AUS,2007,964050.37500000000000000
pop,AUS,2007,20.91634400000000000
hc,AUS,2007,3.46150135993958000
rgdpo,AUS,2008,1015878.12500000000000000
pop,AUS,2008,21.33228200000000000
hc,AUS,2008,3.45062017440796000
rgdpo,AUS,2009,1013711.31250000000000000
pop,AUS,2009,21.75085100000000000
hc,AUS,2009,3.43977355957031000
rgdpo,AUS,2010,1112663.75000000000000000
pop,AUS,2010,22.15467900000000000
hc,AUS,2010,3.42896080017090000
rgdpo,AUS,2011,1175046.25000000000000000
pop,AUS,2011,22.53800100000000000
hc,AUS,2011,3.44216704368591000
rgdpo,AUS,2012,1170344.25000000000000000
pop,AUS,2012,22.90394800000000000
hc,AUS,2012,3.45542430877686000
rgdpo,AUS,2013,1227129.25000000000000000
pop,AUS,2013,23.25491300000000000
hc,AUS,2013,3.46873283386230000
rgdpo,AUS,2014,1225111.12500000000000000
pop,AUS,2014,23.59642400000000000
hc,AUS,2014,3.48209238052368000
rgdpo,AUS,2015,1165804.62500000000000000
pop,AUS,2015,23.93250200000000000
hc,AUS,2015,3.49550342559814000
rgdpo,AUS,2016,1249462.00000000000000000
pop,AUS,2016,24.26271200000000000
hc,AUS,2016,3.50896620750427000
rgdpo,AUS,2017,1291582.25000000000000000
pop,AUS,2017,24.58462000000000000
hc,AUS,2017,3.52248072624207000
rgdpo,AUS,2018,1350395.25000000000000000
pop,AUS,2018,24.89815200000000000
hc,AUS,2018,3.53604745864868000
rgdpo,AUS,2019,1364677.75000000000000000
pop,AUS,2019,25.20319800000000000
hc,AUS,2019,3.54966616630554000
rgdpo,CHL,2009,296428.03125000000000000
pop,CHL,2009,16.88618600000000000
hc,CHL,2009,2.95897746086121000
rgdpo,CHL,2010,342195.93750000000000000
pop,CHL,2010,17.06253600000000000
hc,CHL,2010,2.97877097129822000
rgdpo,CHL,2011,379498.59375000000000000
pop,CHL,2011,17.23357600000000000
hc,CHL,2011,2.99687981605530000
rgdpo,CHL,2012,401287.87500000000000000
pop,CHL,2012,17.40034700000000000
hc,CHL,2012,3.01509833335876000
rgdpo,CHL,2013,415074.37500000000000000
pop,CHL,2013,17.57150700000000000
hc,CHL,2013,3.03342795372009000
rgdpo,CHL,2014,421631.78125000000000000
pop,CHL,2014,17.75895900000000000
hc,CHL,2014,3.05186891555786000
rgdpo,CHL,2015,417152.15625000000000000
pop,CHL,2015,17.96935300000000000
hc,CHL,2015,3.07042193412781000
rgdpo,CHL,2016,411637.21875000000000000
pop,CHL,2016,18.20906800000000000
hc,CHL,2016,3.08908796310425000
rgdpo,CHL,2017,422309.03125000000000000
pop,CHL,2017,18.47043900000000000
hc,CHL,2017,3.10786700248718000
rgdpo,CHL,2018,436137.21875000000000000
pop,CHL,2018,18.72916000000000000
hc,CHL,2018,3.12676072120667000
rgdpo,CHL,2019,440683.34375000000000000
pop,CHL,2019,18.95203800000000000
hc,CHL,2019,3.14576888084412000
rgdpo,CHN,1990,2856361.25000000000000000
pop,CHN,1990,1176.88367400000000000
